url_id,matches_official_slug_url,If_official_contract_address,No_of_ether_addresses,Twitter_link,if_twitter_active,Twitter_match,Followers,Age,Opensea_match,eth_tracker,label
1658555491,0,0,7,4,1,1,67024,1838,0,0,1
1658558774,0,0,34,4,0,0,0,0,0,0,1
1658559035,0,0,17,2,0,0,0,0,0,0,1
1658559773,0,0,8926,2,0,0,0,0,0,0,1
1658560243,0,0,1,2,0,0,0,0,0,0,1
1658561166,0,0,1,2,0,0,0,0,0,0,1
1658562537,0,0,2,2,0,0,0,0,0,0,1
1658801360,0,0,2,2,0,0,0,0,0,0,1
1658801829,0,0,6,2,0,0,0,0,0,0,1
1658801845,0,0,1,4,1,1,67024,1838,0,0,1
1658802347,0,0,1,4,0,0,0,0,0,0,1
1658803955,0,0,4,4,0,0,0,0,0,0,1
1658805772,0,0,19,1,1,0,99431,335,0,0,1
1658806025,0,0,16,1,0,0,0,0,0,0,1
1658806144,0,0,2,1,0,0,0,0,0,0,1
1658891448,0,0,4,1,0,0,0,0,0,0,1
1658892200,0,0,73,1,1,0,1662,5746,0,0,1
1658892201,0,0,1,1,0,0,0,0,0,0,1
1658893420,0,0,8,1,0,0,0,0,0,0,1
1658893656,0,0,7,4,1,0,36,4864,0,0,1
1658894029,0,0,5,4,0,0,0,0,0,0,1
1658894131,0,0,1,4,0,0,0,0,0,0,1
1658894429,0,0,7,1,1,0,55492,393,0,0,1
1658894880,0,0,25,1,1,0,43388,265,0,0,1
1658894941,0,0,25,1,0,0,0,0,0,0,1
1658895433,0,0,3,1,0,0,0,0,0,0,1
1658895518,0,0,3,1,0,0,0,0,0,0,1
1658895763,0,0,7,1,0,0,0,0,0,0,1
1658895987,0,0,1,1,0,0,0,0,0,0,1
1658896125,0,0,2,1,0,0,0,0,0,0,1
1658896164,0,0,1,1,0,0,0,0,0,0,1
1658896893,0,0,4,1,0,0,0,0,0,0,1
1658896925,0,0,52,1,0,0,0,0,0,0,1
1658896991,0,0,6,1,1,1,25299,463,0,0,1
1658897480,0,0,17,1,0,0,0,0,0,0,1
1658897535,0,0,25,1,0,0,0,0,0,0,1
1658897583,0,0,25,1,1,0,50971,284,0,0,1
1658897622,0,0,16,1,0,0,0,0,0,0,1
1658897793,0,0,3,1,0,0,0,0,0,0,1
1658898164,0,0,7,1,0,0,0,0,0,0,1
1658899436,0,0,6,1,0,0,0,0,0,0,1
1658899527,0,0,1,1,0,0,0,0,0,0,1
1658899931,0,0,8,1,1,0,3,3602,0,0,1
1658899962,0,0,25,1,0,0,0,0,0,0,1
1658899971,0,0,6,1,0,0,0,0,0,0,1
1658900003,0,0,2,1,0,0,0,0,0,0,1
1658900687,0,0,2,1,0,0,0,0,0,0,1
1658900831,0,0,8,1,0,0,0,0,0,0,1
1658901443,0,0,4,1,0,0,0,0,0,0,1
1658901630,0,0,2,1,0,0,0,0,0,0,1
1658995928,0,0,1,1,0,0,0,0,0,0,1
1658997209,0,0,4,1,0,0,0,0,0,0,1
1658999817,0,0,2,9,1,0,36110,285,0,0,1
1659003891,0,0,8927,9,0,0,0,0,0,0,1
1659004478,0,0,3,9,0,0,0,0,0,0,1
1659088850,0,0,4,9,0,0,0,0,0,0,1
1659089031,0,0,3,4,1,0,36,4864,0,0,1
1659091278,0,0,3,4,0,0,0,0,0,0,1
1659092504,0,0,3,4,0,0,0,0,0,0,1
1659094184,0,0,8,4,0,0,0,0,0,0,1
1659094250,0,0,6,4,0,0,0,0,0,0,1
1659095360,0,0,1,4,0,0,0,0,0,0,1
1659095406,0,0,3,2,1,0,50971,284,0,0,1
1659223871,0,0,8,1,1,0,50971,284,0,0,1
1659226999,0,0,8,1,1,0,76501,182,0,0,1
1659227183,0,0,3,1,0,0,0,0,0,0,1
1659227736,0,0,24,2,1,0,50971,284,0,0,1
1659228690,0,0,6,2,0,0,0,0,0,0,1
1659228941,0,0,5,2,1,0,50971,284,0,0,1
1659229281,0,0,25,1,1,0,11009,267,0,0,1
1659229603,0,0,1,1,0,0,0,0,0,0,1
1659229624,0,0,4,1,0,0,0,0,0,0,1
1659230120,0,0,1,1,0,0,0,0,0,0,1
1659230253,0,0,8925,1,0,0,0,0,0,0,1
1659231300,0,0,7,1,0,0,0,0,0,0,1
1659312316,0,0,5,1,1,1,386798,573,0,0,1
1659312838,0,0,2,1,0,0,0,0,0,0,1
1659313239,0,0,26,2,1,0,857,4803,0,0,1
1659313459,0,0,1,2,0,0,0,0,0,0,1
1659313725,0,0,7,2,0,0,0,0,0,0,1
1659313882,0,0,6,2,0,0,0,0,0,0,1
1659314113,0,0,1,2,0,0,0,0,0,0,1
1659314143,0,0,3,2,0,0,0,0,0,0,1
1659314518,0,0,8909,1,1,0,857,4803,0,0,1
1659314640,0,0,35,1,1,0,857,4803,0,0,1
1659314642,0,0,4,1,1,1,4039,256,0,0,1
1659314677,0,0,1,1,0,0,0,0,0,0,1
1659315050,0,0,8,1,1,0,857,4803,0,0,1
1659315303,0,0,8,1,0,0,0,0,0,0,1
1659316009,1,0,8,2,0,0,0,0,0,0,1
1659316040,0,0,18,2,1,1,259759,685,0,0,1
1659316058,0,0,19,2,0,0,0,0,0,0,1
1659316069,0,0,18,1,0,0,0,0,0,0,1
1659316465,0,0,26,1,1,1,205274,316,0,0,1
1659316912,0,0,1,2,1,0,857,4803,0,0,1
1659317212,0,0,1,2,0,0,0,0,0,0,1
1659317452,0,0,4,2,0,0,0,0,0,0,1
1659317934,0,0,1,1,1,0,857,4803,0,0,1
1659317946,0,0,1,4,1,1,67024,1838,0,0,1
1659317965,0,0,25,1,0,0,0,0,0,0,1
1659318343,0,0,26,2,1,0,857,4803,0,0,1
1659318427,0,0,1,2,0,0,0,0,0,0,1
1659318451,0,0,28,1,0,0,0,0,0,0,1
1659318600,0,0,26,1,0,0,0,0,0,0,1
1659318693,0,0,2,1,0,0,0,0,0,0,1
1659318977,0,0,8927,2,1,0,16626,1577,0,0,1
1659319025,0,0,3,2,0,0,0,0,0,0,1
1659319084,0,0,6,2,0,0,0,0,0,0,1
1659319373,0,0,8,1,1,0,246994,327,0,0,1
1659319730,0,0,1,1,1,1,4039,256,0,0,1
1659319747,0,0,1,2,1,1,4039,256,0,0,1
1659319821,0,0,2,2,0,0,0,0,0,0,1
1659319949,0,0,8909,1,1,1,386798,573,0,0,1
1659319964,0,0,8944,1,1,1,331578,499,0,0,1
1659320344,0,0,1,1,0,0,0,0,0,0,1
1659320446,0,0,3,1,0,0,0,0,0,0,1
1659320545,0,0,2,3,1,1,511856,431,0,0,1
1659320827,0,0,3,2,1,1,4039,256,0,0,1
1659320914,0,0,2,2,0,0,0,0,0,0,1
1659320961,0,0,4,1,1,0,857,4803,0,0,1
1659321218,0,0,2,1,1,1,511856,431,0,0,1
1659321368,0,0,1,1,1,1,205274,316,0,0,1
1659321523,0,0,1,2,1,0,246994,327,0,0,1
1659321607,0,0,1,3,1,1,511856,431,0,0,1
1659321758,0,0,2,1,0,0,0,0,0,0,1
1659321908,0,0,26,1,0,0,0,0,0,0,1
1659431019,0,0,1,1,0,0,0,0,0,0,1
1659431846,0,0,26,1,1,0,6657,5792,0,0,1
1659432103,0,0,2,1,1,0,2288,2991,0,0,1
1659432501,0,0,5,2,1,0,150575,399,0,0,1
1659432975,0,0,2,2,0,0,0,0,0,0,1
1659433946,0,0,3,2,0,0,0,0,0,0,1
1659434119,0,0,5,2,0,0,0,0,0,0,1
1659435262,0,0,1,4,1,1,50316,4973,0,0,1
1659436436,0,0,1,4,0,0,0,0,0,0,1
1659436440,0,0,2,4,0,0,0,0,0,0,1
1659437127,0,0,19,9,1,1,150575,399,0,0,1
1659437372,0,0,1,9,0,0,0,0,0,0,1
1659437508,0,0,1,1,0,0,0,0,0,0,1
1659437581,0,0,1,1,0,0,0,0,0,0,1
1659437679,0,0,1,1,0,0,0,0,0,0,1
1659438404,0,0,2,1,1,0,83242,842,0,0,1
1659438568,0,0,1,9,1,1,150575,399,0,0,1
1659439409,0,0,1,2,1,0,2511,5065,0,0,1
1659918799,0,0,2,2,0,0,0,0,0,0,1
1659920738,0,0,18,2,0,0,0,0,0,0,1
1659920798,0,0,2,2,0,0,0,0,0,0,1
1659920940,0,0,8909,2,0,0,0,0,0,0,1
1659921104,0,0,3,1,0,0,0,0,0,0,1
1659921266,0,0,373,1,0,0,0,0,0,0,1
1659921549,0,0,17,1,0,0,0,0,0,0,1
1659921612,0,0,8909,1,0,0,0,0,0,0,1
1659921700,0,0,5,1,0,0,0,0,0,0,1
1659921722,0,0,3,1,1,1,208799,418,0,0,1
1659921827,0,0,16,1,0,0,0,0,0,0,1
1659921835,0,0,1,1,0,0,0,0,0,0,1
1659921886,0,0,8909,1,0,0,0,0,0,0,1
1659921910,0,0,8909,1,0,0,0,0,0,0,1
1659921948,0,0,37,1,1,0,13,5557,0,0,1
1659921965,0,0,2,1,0,0,0,0,0,0,1
1659921981,0,0,18,1,1,1,52503,462,0,0,1
1659922249,0,0,4,1,0,0,0,0,0,0,1
1659922731,0,0,11422,1,0,0,0,0,0,0,1
1659922827,0,0,8,4,1,1,67024,1838,0,0,1
1659923157,0,0,8910,4,0,0,0,0,0,0,1
1659923418,0,0,1,1,1,0,117991,474,0,0,1
1659923603,0,0,1,1,0,0,0,0,0,0,1
1659923681,0,0,18,1,0,0,0,0,0,0,1
1659923824,0,0,18,1,1,1,412017,897,0,0,1
1659923829,0,0,7,2,1,1,54658,377,0,0,1
1659924046,0,0,3,2,0,0,0,0,0,0,1
1659924083,0,0,1,2,0,0,0,0,0,0,1
1659924117,0,0,8909,1,1,1,25299,463,0,0,1
1659924145,0,0,2,1,0,0,0,0,0,0,1
1659924219,0,0,1,1,0,0,0,0,0,0,1
1659924325,0,0,16,1,0,0,0,0,0,0,1
1659924333,0,0,18,1,0,0,0,0,0,0,1
1659924357,0,0,1,1,1,1,67155,399,0,0,1
1659924598,0,0,8909,1,0,0,0,0,0,0,1
1659924615,0,0,1,1,0,0,0,0,0,0,1
1659924627,0,0,1,1,0,0,0,0,0,0,1
1659924690,0,0,2,1,0,0,0,0,0,0,1
1659924846,0,0,2,1,0,0,0,0,0,0,1
1659925206,0,0,3,4,1,1,67024,1838,0,0,1
1659925359,0,0,8910,4,0,0,0,0,0,0,1
1659925669,0,0,16,4,0,0,0,0,0,0,1
1659925723,0,0,2,2,1,0,16,2487,0,0,1
1659925759,0,0,1,2,0,0,0,0,0,0,1
1659925800,0,0,5,2,0,0,0,0,0,0,1
1659925833,0,0,4,2,0,0,0,0,0,0,1
1659925975,0,0,8927,2,0,0,0,0,0,0,1
